crop,rows,train_rows,test_rows,baseline_mae,model_mae,baseline_rmse,model_rmse,improvement
wheat,389,311,78,244.9279882300804,118.06145772711213,440.72184716554676,227.87154585629094,51.7974819536722
soyabean,387,309,78,225.55388568292648,642.4009673150574,309.4764646841338,677.1784212176703,-184.81041919096702
onion,392,313,79,176.41316470474092,73.8900550678036,333.9883391628444,128.24969228124135,58.11533952612218
cotton,292,233,59,139.0826190888108,83.69736417349758,194.76493359385404,113.72650291226688,39.82183775238452
chana,379,303,76,265.72465117146777,79.15763746135372,343.13261865457264,101.9235919263435,70.2106533539959
rice,381,304,77,1218.51850133993,348.19610634776575,1521.5948632808647,542.9555184667466,71.42463524641802
